epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,230.758,1.17356,1.4879,0.95226,0.56368,0.81524,0.7458,0.4699,1.28169,1.27156,0.96545,0.000162649,0.000162649,0.000162649
80,233.926,1.11833,1.40501,0.94435,0.5773,0.74706,0.73244,0.48243,1.16384,1.2374,0.93467,0.000155581,0.000155581,0.000155581
81,236.905,1.1374,1.43051,0.95178,0.59312,0.69282,0.71704,0.44092,1.25902,1.27775,0.95419,0.000148512,0.000148512,0.000148512
82,240.02,1.11644,1.41269,0.95523,0.62145,0.64914,0.72489,0.46027,1.22699,1.24469,0.94326,0.000141443,0.000141443,0.000141443
83,242.946,1.09856,1.41364,0.93594,0.56669,0.81882,0.74691,0.48106,1.19993,1.22215,0.93748,0.000134375,0.000134375,0.000134375
84,245.976,1.15659,1.39102,0.94463,0.64081,0.71999,0.73923,0.46447,1.23506,1.2334,0.94897,0.000127306,0.000127306,0.000127306
85,249.048,1.1549,1.39982,0.93484,0.65747,0.72124,0.7372,0.45601,1.27728,1.24187,0.95879,0.000120238,0.000120238,0.000120238
86,252.47,1.12285,1.39082,0.94537,0.65263,0.72073,0.74968,0.48183,1.17068,1.2153,0.93573,0.000113169,0.000113169,0.000113169
87,255.913,1.1381,1.39707,0.95716,0.66277,0.67794,0.73856,0.47484,1.21196,1.22808,0.94532,0.0001061,0.0001061,0.0001061
88,258.504,1.13031,1.37802,0.94972,0.65826,0.68065,0.72246,0.44537,1.34787,1.247,0.97723,9.90318e-05,9.90318e-05,9.90318e-05
89,262.391,1.12266,1.35927,0.94331,0.63234,0.68538,0.72609,0.4516,1.31244,1.22469,0.96721,9.19632e-05,9.19632e-05,9.19632e-05
90,266.834,1.11431,1.39296,0.93931,0.67215,0.70225,0.75165,0.46721,1.29535,1.2065,0.96209,8.48946e-05,8.48946e-05,8.48946e-05
91,319.485,1.16836,1.37032,0.97701,0.68998,0.69848,0.77509,0.47971,1.24673,1.15954,0.95157,7.7826e-05,7.7826e-05,7.7826e-05
92,323.669,1.07753,1.35998,0.94895,0.62499,0.84902,0.80159,0.53743,1.0473,1.11325,0.90245,7.07574e-05,7.07574e-05,7.07574e-05
93,327.484,1.11213,1.3782,0.95963,0.63358,0.83571,0.80434,0.54418,1.0154,1.10669,0.89827,6.36888e-05,6.36888e-05,6.36888e-05
94,331.354,1.02697,1.29993,0.95523,0.64329,0.83824,0.80575,0.54363,1.04138,1.11011,0.90299,5.66202e-05,5.66202e-05,5.66202e-05
95,335.287,1.01388,1.30773,0.94283,0.63031,0.82966,0.80049,0.52599,1.12515,1.13622,0.92056,4.95516e-05,4.95516e-05,4.95516e-05
96,339.381,1.01701,1.30235,0.93533,0.62858,0.83589,0.79466,0.50042,1.1543,1.14919,0.92588,4.2483e-05,4.2483e-05,4.2483e-05
97,343.364,1.00782,1.29693,0.92421,0.63499,0.82163,0.8159,0.53831,1.11271,1.14072,0.91599,3.54144e-05,3.54144e-05,3.54144e-05
98,347.692,0.98976,1.32091,0.94244,0.80956,0.64874,0.81481,0.54897,1.09008,1.13339,0.91099,2.83458e-05,2.83458e-05,2.83458e-05
99,351.903,0.97162,1.27046,0.92895,0.80797,0.65356,0.81411,0.55074,1.07124,1.12799,0.9066,2.12772e-05,2.12772e-05,2.12772e-05
100,356.118,0.98992,1.2551,0.9334,0.80181,0.65312,0.81454,0.54937,1.08197,1.1292,0.90963,1.42086e-05,1.42086e-05,1.42086e-05
